Band,Competency,Sub_Section,Q.No,Question
Band 1,Accountability & Ownership,Owning My Tasks,1,"""I check what’s assigned to me and make note of it."" "
Band 1,Accountability & Ownership,Owning My Tasks,2,"""I try to finish tasks even when they feel hard or boring."" "
Band 1,Accountability & Ownership,Owning My Tasks,3,"""I ask for clarification if I don’t fully understand my task."" "
Band 1,Accountability & Ownership,Owning My Tasks,4,"""I don’t wait till the last minute to begin my work."" "
Band 1,Accountability & Ownership,Owning My Tasks,5,"""I update my lead if I am stuck or need more time."" "
Band 1,Accountability & Ownership,Following Through,6,"""If I say I’ll do something, I try my best to deliver it."" "
Band 1,Accountability & Ownership,Following Through,7,"""I follow up after meetings or discussions to ensure clarity."" "
Band 1,Accountability & Ownership,Following Through,8,"""I don’t shift blame if something goes wrong in my task."" "
Band 1,Accountability & Ownership,Following Through,9,"""I ensure my work is complete before submitting it."" "
Band 1,Accountability & Ownership,Following Through,10,"""I ask what’s expected when the task isn’t clearly defined."" "
Band 1,Accountability & Ownership,Taking Responsibility for Mistakes,11,"""I admit when I made a mistake without making excuses."" "
Band 1,Accountability & Ownership,Taking Responsibility for Mistakes,12,"""I try to fix my errors as soon as I notice them."" "
Band 1,Accountability & Ownership,Taking Responsibility for Mistakes,13,"""I listen to feedback about my mistakes without getting defensive."" "
Band 1,Accountability & Ownership,Taking Responsibility for Mistakes,14,"""I ask for help to understand how to avoid the same mistake next time."" "
Band 1,Accountability & Ownership,Taking Responsibility for Mistakes,15,"""I take responsibility for the quality of my own work."" "
Band 1,Accountability & Ownership,Being Reliable,16,"""I show up on time for meetings and check-ins."" "
Band 1,Accountability & Ownership,Being Reliable,17,"""I keep my promises to my teammates."" "
Band 1,Accountability & Ownership,Being Reliable,18,"""I am consistent in how I perform my daily tasks."" "
Band 1,Accountability & Ownership,Being Reliable,19,"""I don’t ignore messages or requests related to my work."" "
Band 1,Accountability & Ownership,Being Reliable,20,"""I stay focused on my tasks during work hours."" "
Band 1,Accountability & Ownership,Taking Small Initiatives,21,"""I look for the next task to do once I finish mine."" "
Band 1,Accountability & Ownership,Taking Small Initiatives,22,"""I suggest small ways to make my own work better."" "
Band 1,Accountability & Ownership,Taking Small Initiatives,23,"""I keep my workspace (digital or physical) organized."" "
Band 1,Accountability & Ownership,Taking Small Initiatives,24,"""I try to solve small blockers on my own before asking for help."" "
Band 1,Accountability & Ownership,Taking Small Initiatives,25,"""I show interest in learning how my work helps the team."" "
Band 1,Adaptability & Learning Agility,Staying Calm When Things Change,26,"""I try to stay calm when plans suddenly change."" "
Band 1,Adaptability & Learning Agility,Staying Calm When Things Change,27,"""If I’m confused by a new instruction, I ask for help instead of getting frustrated."" "
Band 1,Adaptability & Learning Agility,Staying Calm When Things Change,28,"""I don’t panic if someone gives feedback or correction."" "
Band 1,Adaptability & Learning Agility,Staying Calm When Things Change,29,"""I accept that changes happen even if I don’t like them."" "
Band 1,Adaptability & Learning Agility,Staying Calm When Things Change,30,"""I adjust when deadlines shift or priorities change."" "
Band 1,Adaptability & Learning Agility,Learning from Experience,31,"""I think about what I could do better after finishing a task."" "
Band 1,Adaptability & Learning Agility,Learning from Experience,32,"""I try not to repeat the same mistakes."" "
Band 1,Adaptability & Learning Agility,Learning from Experience,33,"""I listen when someone shares how they solved something."" "
Band 1,Adaptability & Learning Agility,Learning from Experience,34,"""I try again if something didn’t work the first time."" "
Band 1,Adaptability & Learning Agility,Learning from Experience,35,"""I take notes or save examples that help me understand better."" "
Band 1,Adaptability & Learning Agility,Asking to Learn,36,"""I ask questions when I want to understand a concept better."" "
Band 1,Adaptability & Learning Agility,Asking to Learn,37,"""I ask peers how they approached a similar task."" "
Band 1,Adaptability & Learning Agility,Asking to Learn,38,"""I show curiosity about new tools or ways of working."" "
Band 1,Adaptability & Learning Agility,Asking to Learn,39,"""I ask for feedback to know where I can improve."" "
Band 1,Adaptability & Learning Agility,Asking to Learn,40,"""I listen actively during training or knowledge-sharing sessions."" "
Band 1,Adaptability & Learning Agility,Being Open to New Things,41,"""I am willing to try a different way of doing a task if suggested."" "
