Band,Competency,Sub_Section,Q.No,Question
Band 1B,Accountability & Ownership,Taking Responsibility,1,"""When you miss a deadline, how often do you own up immediately instead of giving excuses?"""
Band 1B,Accountability & Ownership,Taking Responsibility,2,"""When a team deliverable is delayed, how often do you acknowledge your part and share what you’ll do differently next time?"""
Band 1B,Accountability & Ownership,Taking Responsibility,3,"""How often do you share lessons learned from your mistakes so others can avoid them?"""
Band 1B,Accountability & Ownership,Taking Responsibility,4,"""When assigned a task, how often do you confirm clear ownership and expected results?"""
Band 1B,Accountability & Ownership,Taking Responsibility,5,"""How often do you track progress and close tasks with documented completion?"""
Band 1B,Accountability & Ownership,Delivering Commitments,6,"""How often do you proactively update stakeholders on progress before they ask?"""
Band 1B,Accountability & Ownership,Delivering Commitments,7,"""How often do you deliver tasks on or before the agreed timeline?"""
Band 1B,Accountability & Ownership,Delivering Commitments,8,"""How often do you double-check your work for accuracy before submitting?"""
Band 1B,Accountability & Ownership,Delivering Commitments,9,"""When dependent on others, how often do you ensure your part is ready without delay?"""
Band 1B,Accountability & Ownership,Delivering Commitments,10,"""How often do you clarify scope, deadlines, and quality expectations early to avoid missed commitments?"""
Band 1B,Accountability & Ownership,Proactive Ownership,11,"""How often do you volunteer to take charge of a small but important task without being told?"""
Band 1B,Accountability & Ownership,Proactive Ownership,12,"""How often do you identify potential risks early and communicate them to the team?"""
Band 1B,Accountability & Ownership,Proactive Ownership,13,"""How often do you suggest process or workflow improvements instead of waiting for instructions?"""
Band 1B,Accountability & Ownership,Proactive Ownership,14,"""When you see a gap, how often do you step in to resolve it rather than saying 'not my job'?"""
Band 1B,Accountability & Ownership,Proactive Ownership,15,"""How often do you follow through on promises even when they become difficult to keep?"""
Band 1B,Accountability & Ownership,Reliability & Consistency,16,"""How often do you maintain high standards of work even when under pressure?"""
Band 1B,Accountability & Ownership,Reliability & Consistency,17,"""How often do you show consistent effort in routine tasks without needing constant supervision?"""
Band 1B,Accountability & Ownership,Reliability & Consistency,18,"""How often do you keep shared trackers or dashboards updated without being reminded?"""
Band 1B,Accountability & Ownership,Reliability & Consistency,19,"""How often do you ensure your hand-offs provide all necessary clarity for the next person?"""
Band 1B,Accountability & Ownership,Reliability & Consistency,20,"""How often do you demonstrate a 'finish-what-you-start' attitude on every assignment?"""
Band 1B,Accountability & Ownership,Ownership in Change,21,"""How often do you stay accountable for your work even when project plans shift suddenly?"""
Band 1B,Accountability & Ownership,Ownership in Change,22,"""When goals change, how often do you proactively adapt your tasks to meet the new objective?"""
Band 1B,Accountability & Ownership,Ownership in Change,23,"""How often do you maintain a focus on delivery during periods of team uncertainty?"""
Band 1B,Accountability & Ownership,Ownership in Change,24,"""How often do you take ownership of learning new requirements when a project pivots?"""
Band 1B,Accountability & Ownership,Ownership in Change,25,"""How often do you help others stay accountable by modeling reliable behavior during transitions?"""
Band 1B,Adaptability & Learning Agility,Adjusting to Change,1,"""When direction changes, how often do you adjust and help teammates align quickly?"""
Band 1B,Adaptability & Learning Agility,Adjusting to Change,2,"""How often do you respond positively to shifting priorities and guide others through the change?"""
Band 1B,Adaptability & Learning Agility,Adjusting to Change,3,"""When teammates struggle with change, how often do you support them to adapt constructively?"""
Band 1B,Adaptability & Learning Agility,Adjusting to Change,4,"""How often do you ask clarifying questions during change announcements to avoid assumptions?"""
Band 1B,Adaptability & Learning Agility,Adjusting to Change,5,"""How often do you stay calm and propose constructive alternatives when deadlines shift?"""
Band 1B,Adaptability & Learning Agility,Flexibility in Work Style,6,"""How often do you adjust your approach when your usual method isn’t working?"""
Band 1B,Adaptability & Learning Agility,Flexibility in Work Style,7,"""When collaborating, how often do you flex your style to make teamwork smoother?"""
Band 1B,Adaptability & Learning Agility,Flexibility in Work Style,8,"""How often do you shift between detail and big-picture thinking as needed?"""
Band 1B,Adaptability & Learning Agility,Flexibility in Work Style,9,"""How often do you try new tools or processes even if unfamiliar at first?"""
Band 1B,Adaptability & Learning Agility,Flexibility in Work Style,10,"""How often do you adjust based on feedback to improve team outcomes?"""
Band 1B,Adaptability & Learning Agility,Openness to Learning,11,"""When learning something new, how often do you take active notes for reuse?"""
Band 1B,Adaptability & Learning Agility,Openness to Learning,12,"""How often do you seek feedback after applying a new skill to refine it?"""
