Band,Category,Question
Band 6B,Self Evaluation,"How often do you shape a clear, cohesive narrative around the organization’s vision for internal and external audiences?"
Band 6B,Self Evaluation,"How often do you align executive messaging so it cascades consistently across business units and geographies?"
Band 6B,Self Evaluation,"How often do you translate strategy into messages that motivate belief and ownership across the organization?"
Band 6B,Self Evaluation,"How often do you anticipate potential misinterpretations of strategic communication and course-correct proactively?"
Band 6B,Self Evaluation,"How often do you evaluate how your communication shapes stakeholder trust and brand reputation?"
Band 6B,Self Evaluation,"How often do you communicate complex business performance data in a way that strengthens board confidence and clarity?"
Band 6B,Self Evaluation,"How often do you craft messages for investors, clients, and partners that reinforce the organization’s long-term value story?"
Band 6B,Self Evaluation,"How often do you represent the organization in public forums or media with credibility and strategic poise?"
Band 6B,Self Evaluation,"How often do you use data visuals and stories to translate risk, innovation, and growth in a balanced narrative?"
Band 6B,Self Evaluation,"How often do you build consistency between executive communications and external perceptions of Sails Software?"
Band 6B,Self Evaluation,"How often do you ensure leadership communications enable cross-functional alignment on strategic initiatives?"
Band 6B,Self Evaluation,"How often do you mediate communication between functions to reduce ambiguity and decision delays?"
Band 6B,Self Evaluation,"How often do you embed clear strategic narrative loops to align executive intent and operational execution?"
Band 6B,Self Evaluation,"How often do you turn complex debates into unified action through precise and data-backed communication?"
Band 6B,Self Evaluation,"How often do you mentor senior leaders on executive storytelling to reinforce strategic alignment?"
Band 6B,Self Evaluation,"How often do you lead transparent communication during organizational crises to protect trust?"
Band 6B,Self Evaluation,"How often do you communicate difficult information with balance — neither minimising nor sensationalising impact?"
Band 6B,Self Evaluation,"How often do you align internal and external narratives so the organisation speaks with one credible voice during risk events?"
Band 6B,Self Evaluation,"How often do you brief the Board proactively on emerging issues and response communication plans?"
Band 6B,Self Evaluation,"How often do you capture and share post-crisis communication lessons to strengthen institutional readiness?"
Band 6B,Self Evaluation,"How often do you create open channels for feedback between leadership and employees across all levels?"
Band 6B,Self Evaluation,"How often do you visibly act on feedback to demonstrate accountability and continuous improvement?"
Band 6B,Self Evaluation,"How often do you mentor next-generation leaders to develop their communication maturity and ethical judgment?"
Band 6B,Self Evaluation,"How often do you institutionalize transparent reporting mechanisms that sustain trust beyond your tenure?"
