Band,Category,Question
Band 1B,Self assesment,"When given a problem, how often do you restate it in your own words to confirm alignment?"
Band 1B,Self assesment,"How often do you validate whether the stated objective links to the larger team or project goal?"
Band 1B,Self assesment,"How often do you distinguish between surface symptoms and the real root problem before acting?"
Band 1B,Self assesment,"How often do you check whether you have enough facts or data before deciding?"
Band 1B,Self assesment,"When a deliverable slips, how often do you frame it as a shared team problem instead of individual blame?"
Band 1B,Self assesment,"How often do you split a large task or problem into smaller, actionable parts?"
Band 1B,Self assesment,"How often do you use visual aids (lists, tables, task boards) to make analysis clearer?"
Band 1B,Self assesment,"How often do you compare multiple quality options before selecting one?"
Band 1B,Self assesment,"How often do you question assumptions or data before accepting them?"
Band 1B,Self assesment,"How often do you suggest more than one possible solution for a problem?"
Band 1B,Self assesment,"When brainstorming, how often do you encourage teammates to contribute their ideas?"
Band 1B,Self assesment,"How often do you adapt existing solutions to new contexts instead of reinventing from scratch?"
Band 1B,Self assesment,"How often do you check feasibility (time, resources, risks) before proposing a solution?"
Band 1B,Self assesment,"How often do you reuse effective learnings from previous projects when solving new issues?"
Band 1B,Self assesment,"How often do you recommend one clear option with reasons rather than leaving it vague?"
Band 1B,Self assesment,"How often do you back your decision with supporting data instead of personal opinion?"
Band 1B,Self assesment,"When trade-offs exist, how often do you explain pros and cons to others before finalizing?"
Band 1B,Self assesment,"How often do you confirm that chosen actions are realistic for the team to deliver successfully?"
Band 1B,Self assesment,"How often do you seek alignment from teammates quickly after a decision is made?"
Band 1B,Self assesment,"After resolving an issue, how often do you capture what worked and what didn’t?"
Band 1B,Self assesment,"How often do you share your learnings with the team to prevent repeat mistakes?"
Band 1B,Self assesment,"How often do you adjust your future approach based on feedback or outcomes?"
Band 1B,Self assesment,"How often do you look for recurring problem patterns and propose long-term fixes?"
Band 1B,Self assesment,"How often do you ask for peer or manager feedback on how you handled a problem?"
Band 1B,Self assesment,"Do I validate root cause and facts before suggesting solutions?"
Band 1B,Self assesment,"Do I share learnings or keep them to myself?"
Band 1B,Self assesment,"Which three questions did I score lowest on, and what practice will I adopt this week?"
Band 1B,Self assesment,"How do I demonstrate structured thinking to earn team trust?"
Band 1B,Self Evaluation,"When you miss a deadline, how often do you own up immediately instead of giving excuses?"
Band 1B,Self Evaluation,"When a team deliverable is delayed, how often do you acknowledge your part and share what you’ll do differently next time?"
Band 1B,Self Evaluation,"How often do you share lessons learned from your mistakes so others can avoid them?"
Band 1B,Self Evaluation,"When assigned a task, how often do you confirm clear ownership and expected results?"
Band 1B,Self Evaluation,"How often do you track progress and close tasks with documented completion?"
Band 1B,Self Evaluation,"How often do you proactively update stakeholders on progress before they ask?"
Band 1B,Self Evaluation,"How often do you deliver tasks on or before the agreed timeline?"
Band 1B,Self Evaluation,"How often do you double-check your work for accuracy before submitting?"
